Date,Name,Year,Letterboxd URI,Rating,director,country,genres,themes,Major Genre,ratingCount,communityScoreRaw,communityScoreWeighted
2019-02-16,I Am Legend,2007,https://boxd.it/21DG,2.5,Francis Lawrence,usa,"['science-fiction', 'thriller', 'drama']","['Monsters, aliens, sci-fi and the apocalypse', 'Horror, the undead and monster classics']",science-fiction,257679,8,3.29
2019-02-16,The Birds,1963,https://boxd.it/2a6m,3.0,Alfred Hitchcock,usa,['horror'],"['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse', 'Intense violence and sexual transgression']",horror,149470,7,3.73
2019-02-16,Gremlins,1984,https://boxd.it/29gg,3.0,Joe Dante,usa,"['horror', 'fantasy', 'comedy']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",horror,179844,8,3.64
2019-02-16,The Conjuring 2,2016,https://boxd.it/7GJg,2.5,James Wan,usa,"['horror', 'thriller']","['Horror, the undead and monster classics']",horror,209937,6,3.39
2019-02-16,Saw,2004,https://boxd.it/2aWW,4.0,James Wan,usa,"['horror', 'crime', 'mystery']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression', 'Thrillers and murder mysteries']",horror,231267,8,3.57
2019-02-16,Night of the Living Dead,1968,https://boxd.it/1WwA,3.0,George A Romero,usa,"['thriller', 'horror']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",thriller,121683,9,3.97
2019-02-16,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS,2.5,Tim Burton,uk,"['horror', 'drama']","['Song and dance', 'Horror, the undead and monster classics']",horror,172088,8,3.47
2019-02-16,Hush,2016,https://boxd.it/d5ys,3.5,Mike Flanagan,usa,"['horror', 'thriller']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression', 'Thrillers and murder mysteries']",horror,190821,7,3.28
2019-02-16,From Dusk Till Dawn,1996,https://boxd.it/29HQ,3.0,Robert Rodriguez 1,usa,"['crime', 'thriller', 'horror', 'action']","['Horror, the undead and monster classics', 'Westerns', 'Crime, drugs and gangsters']",crime,138002,9,3.49
2019-02-16,Poltergeist,1982,https://boxd.it/2a0o,3.5,Tobe Hooper,usa,['horror'],"['Horror, the undead and monster classics']",horror,133589,7,3.56
2019-02-16,Nosferatu,1922,https://boxd.it/29TM,3.0,F W Murnau,germany,"['fantasy', 'horror']","['Horror, the undead and monster classics']",fantasy,93814,9,3.89
2019-02-16,The Purge,2013,https://boxd.it/4Xg0,3.0,James Demonaco,france,"['science-fiction', 'horror', 'thriller']","['Intense violence and sexual transgression', 'Horror, the undead and monster classics']",science-fiction,197914,3,2.7
2019-02-16,Insidious,2010,https://boxd.it/H4k,3.0,James Wan,canada,"['horror', 'thriller']","['Horror, the undead and monster classics']",horror,182486,5,3.23
2019-02-16,The Others,2001,https://boxd.it/27Po,3.0,Alejandro Amenabar,spain,"['thriller', 'horror', 'mystery']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",thriller,133825,8,3.7
2019-02-16,Gerald's Game,2017,https://boxd.it/buKa,2.5,Mike Flanagan,usa,"['thriller', 'horror']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",thriller,119420,6,3.2
2019-02-16,The Visit,2015,https://boxd.it/9ssO,3.0,M Night Shyamalan,usa,"['mystery', 'horror', 'thriller']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",thriller,118149,6,3.07
2019-02-16,Evil Dead,2013,https://boxd.it/3GPq,4.0,Fede Alvarez 1,usa,['horror'],"['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,106257,3,3.34
2019-02-16,Antichrist,2009,https://boxd.it/1Inu,3.0,Lars Von Trier,denmark,"['horror', 'drama', 'thriller']","['Intense violence and sexual transgression', 'Horror, the undead and monster classics', 'Faith and religion']",horror,95856,5,3.4
2019-02-16,Warm Bodies,2013,https://boxd.it/2TFm,3.0,Jonathan Levine,usa,"['comedy', 'romance', 'horror']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",comedy,113418,4,2.92
2019-02-16,The Ring,2002,https://boxd.it/2a70,3.0,Gore Verbinski,japan,"['horror', 'mystery']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,146883,8,3.32
2019-02-16,You're Next,2011,https://boxd.it/2WWK,2.5,Adam Wingard,usa,"['thriller', 'horror', 'mystery']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",thriller,88317,5,3.37
2019-02-16,The Mist,2007,https://boxd.it/22r2,3.0,Frank Darabont,usa,"['thriller', 'horror', 'science-fiction']","['Monsters, aliens, sci-fi and the apocalypse', 'Horror, the undead and monster classics', 'Faith and religion']",thriller,118296,9,3.42
2019-02-16,Friday the 13th,1980,https://boxd.it/24fs,3.5,Sean S Cunningham,usa,['horror'],"['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,135061,6,3.11
